ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
PICK-UP U,0.33,0.04,0.08,1.29,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK U T,0.5,0.01,0.2,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,5,0.5,N
PICK-UP R,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,13,9,0.3,N
STACK R U,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP C,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
STACK C R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP T,0.33,0.02,0.03,1.32,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,11,9,0.5,N
STACK T C,0.5,0.02,0.06,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP U,0.5,0.03,0.11,1.42,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,7,0.3,N
STACK U T,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.2,N
STACK R U,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP C,0.33,0.08,0.02,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,9,0.4,N
STACK C T,0.5,0.25,0.01,1.74,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,9,0.6,Y
PICK-UP U,0.5,0.5,0.02,1.98,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,8,0.4,Y
STACK U C,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,-1,0.5,Y
PICK-UP R,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,-1,0.3,Y
STACK R U,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.4,Y
PICK-UP U,0.33,0.04,0.08,1.29,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK U T,0.5,0.01,0.2,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,5,0.5,N
PICK-UP R,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,13,9,0.3,N
STACK R U,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP C,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP U,0.33,0.04,0.08,1.29,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK U T,0.5,0.01,0.2,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,5,0.5,N
PICK-UP C,0.5,0.02,0.07,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,14,0.3,N
STACK C U,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.2,N
STACK R C,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP U,0.33,0.04,0.08,1.29,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK U T,0.5,0.01,0.2,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,5,0.5,N
PICK-UP R,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,13,9,0.3,N
STACK R U,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
