ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[236.0]
STACK A W,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[292.0]
PICK-UP T,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[366.0]
STACK T A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[491.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[232.0]
STACK A W,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[281.0]
PICK-UP M,0.15,0.0,0.28,0.36,0.41,0.42,9.0,7.0,0.44,0.33,0.5,0.43,0.33,N,[422.0]
STACK M A,0.08,0.0,0.24,0.3,0.37,0.33,11.0,9.0,0.55,0.5,0.59,0.56,0.33,N,[621.0]
PICK-UP T,0.0,0.0,0.2,0.24,0.3,0.29,13.0,11.0,0.67,0.6,0.69,0.64,0.33,N,[850.0]
STACK T M,0.0,-0.15,0.18,0.21,0.26,0.25,15.0,13.0,0.71,0.67,0.73,0.69,0.33,N,[1231.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[235.0]
STACK A W,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[296.0]
PICK-UP T,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[387.0]
STACK T A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[513.0]
PICK-UP M,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[686.0]
STACK M T,0.0,0.11,0.18,0.45,0.28,0.5,15.0,5.0,0.71,0.0,0.73,0.0,0.67,N,[894.0]
PICK-UP M,0.25,0.12,0.3,0.3,0.49,0.5,7.0,7.0,0.25,0.25,0.07,0.14,0.33,N,[315.0]
STACK M W,0.11,0.0,0.35,0.25,0.62,0.4,7.0,9.0,0.25,0.44,0.14,0.44,0.33,Y,[414.0]
PICK-UP A,0.22,0.17,0.37,0.17,0.58,0.33,7.0,11.0,0.0,0.6,0.0,0.5,0.5,Y,[520.0]
STACK A M,0.0,0.14,0.44,0.14,0.53,0.29,7.0,13.0,0.0,0.67,0.0,0.58,0.67,Y,[650.0]
PICK-UP T,0.0,0.12,0.5,0.13,0.57,0.25,7.0,15.0,0.0,0.71,0.0,0.63,0.83,Y,[865.0]
STACK T A,0.0,0.11,0.56,0.11,0.62,0.22,7.0,17.0,0.0,0.75,0.0,0.68,1.0,Y,[1160.0]
PICK-UP W,0.12,0.25,0.3,0.3,0.5,0.49,7.0,7.0,0.25,0.25,0.14,0.07,0.33,N,[317.0]
STACK W M,0.0,0.11,0.25,0.35,0.4,0.62,9.0,7.0,0.44,0.25,0.44,0.14,0.33,N,[407.0]
PICK-UP A,0.17,0.22,0.17,0.37,0.33,0.58,11.0,7.0,0.6,0.0,0.5,0.0,0.33,N,[514.0]
STACK A W,0.14,0.0,0.14,0.44,0.29,0.53,13.0,7.0,0.67,0.0,0.58,0.0,0.33,N,[662.0]
PICK-UP T,0.12,0.0,0.13,0.5,0.25,0.57,15.0,7.0,0.71,0.0,0.63,0.0,0.5,N,[870.0]
STACK T A,0.11,0.0,0.11,0.56,0.22,0.62,17.0,7.0,0.75,0.0,0.68,0.0,0.67,N,[1160.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[240.0]
STACK A W,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[301.0]
PICK-UP T,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[396.0]
STACK T A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[492.0]
PICK-UP M,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[660.0]
